id,total_retweets,total_favorites,total_ids,total_available_ids,percentage_avai_ids
gossipcop-3482407740,7.0,48.0,65.0,60.00000000000001,0.9230769230769232
gossipcop-7863170653,24.0,26.0,119.0,119.0,1.0
gossipcop-1053862865,5.0,45.0,60.0,58.99999999999999,0.9833333333333332
gossipcop-3173304545,201.0,2088.0,990.0,718.0,0.7252525252525253
gossipcop-7516056437,519.0,3846.0,1066.0,829.0,0.7776735459662288
gossipcop-2680204408,0.0,0.0,5.0,1.0,0.2
gossipcop-92814312,522.0,2835.0,1177.0,955.0,0.8113848768054376
gossipcop-4131669926,346.0,1734.0,871.0,730.0,0.8381171067738232
gossipcop-9940130614,0.0,1.0,2.0,1.0,0.5
gossipcop-3032166920,0.0,3.0,8.0,2.0,0.25
gossipcop-7808487578,54.0,325.0,303.0,258.0,0.8514851485148515
gossipcop-6597797445,0.0,2.0,12.0,10.0,0.8333333333333334
gossipcop-1716205275,4.0,4.0,55.0,48.0,0.8727272727272727
gossipcop-5139117938,5.0,6.0,70.0,39.0,0.5571428571428572
gossipcop-9155954731,551.0,6084.0,1019.0,776.0,0.76153091265947
gossipcop-7114277741,2.0,5.0,7.0,5.0,0.7142857142857143
gossipcop-8975289821,0.0,0.0,28.0,12.0,0.42857142857142855
gossipcop-7059529847,0.0,4.0,6.0,5.0,0.8333333333333334
gossipcop-1287068479,28.0,149.0,44.0,33.0,0.75
gossipcop-873033733,151.0,329.0,157.0,145.99999999999997,0.929936305732484
gossipcop-1960059295,4.0,6.0,70.0,39.0,0.5571428571428572
gossipcop-2817863987,1.0,1.0,5.0,5.0,1.0
gossipcop-5334339357,797.0,3537.0,995.0,710.9999999999999,0.7145728643216079
gossipcop-886177297,2133.0,5682.0,1003.0,872.0,0.8693918245264207
politifact13744,6.0,4.0,65.0,48.0,0.7384615384615385
gossipcop-2677307692,153.0,183.0,197.0,181.0,0.9187817258883249
gossipcop-1693552039,6.0,3.0,34.0,34.0,1.0
gossipcop-8220764426,16.0,34.0,9.0,9.0,1.0
gossipcop-9583470247,5.0,21.0,47.0,46.00000000000001,0.9787234042553192
gossipcop-1689421323,47.0,252.0,79.0,61.0,0.7721518987341772
gossipcop-2764114263,,,,,
politifact13576,98.0,122.0,222.0,158.0,0.7117117117117117
gossipcop-8598629116,21.0,27.0,38.0,34.99999999999999,0.9210526315789472
gossipcop-2011566120,1.0,6.0,10.0,10.0,1.0
gossipcop-5886871112,1.0,5.0,7.0,7.0,1.0
gossipcop-7488579792,0.0,0.0,2.0,2.0,1.0
gossipcop-8970313893,0.0,13.0,11.0,11.0,1.0
gossipcop-1031800447,2.0,3.0,7.0,4.0,0.5714285714285714
gossipcop-7115346331,0.0,0.0,11.0,10.0,0.9090909090909092
gossipcop-6869448706,2.0,4.0,22.0,19.0,0.8636363636363636
gossipcop-6166126691,7.0,3.0,4.0,4.0,1.0
gossipcop-8142169539,16.0,80.0,18.0,15.0,0.8333333333333334
gossipcop-5844292844,2.0,8.0,7.0,7.0,1.0
gossipcop-2176268957,0.0,0.0,6.0,6.0,1.0
gossipcop-5284144372,1.0,7.0,29.0,23.0,0.7931034482758621
gossipcop-9620372118,4.0,16.0,11.0,11.0,1.0
gossipcop-4916310241,6.0,6.0,35.0,26.0,0.7428571428571429
gossipcop-2478967614,0.0,0.0,5.0,5.0,1.0
gossipcop-6414164506,13.0,43.0,134.0,122.0,0.9104477611940298
gossipcop-7632253687,32.0,132.0,53.0,50.0,0.9433962264150944
gossipcop-734040863,3.0,0.0,13.0,11.0,0.8461538461538461
gossipcop-3893905315,1693.0,5791.0,1017.0,869.9999999999999,0.8554572271386429
gossipcop-7176756870,880.0,2806.0,414.0,347.0,0.8381642512077294
gossipcop-4466125915,336.0,1122.0,464.0,406.0,0.875
gossipcop-7693292112,12.0,37.0,36.0,32.0,0.8888888888888888
gossipcop-7861701147,4.0,12.0,8.0,8.0,1.0
gossipcop-5241899341,2884.0,10721.0,1020.0,893.0,0.8754901960784314
gossipcop-2333053579,3.0,12.0,15.0,12.0,0.8
gossipcop-7489850608,0.0,3.0,25.0,21.0,0.84
gossipcop-3308884181,9.0,42.0,133.0,119.0,0.8947368421052632
gossipcop-8980489693,12.0,19.0,17.0,14.0,0.8235294117647058
gossipcop-8714667418,0.0,0.0,7.0,4.0,0.5714285714285714
gossipcop-722149347,,,,,
gossipcop-7331461423,18.0,29.0,67.0,60.0,0.8955223880597015
gossipcop-6181345214,7.0,50.0,12.0,7.0,0.5833333333333334
gossipcop-2851107288,1.0,1.0,11.0,11.0,1.0
gossipcop-2420429687,2.0,7.0,11.0,10.0,0.9090909090909092
gossipcop-8258563789,0.0,2.0,5.0,5.0,1.0
gossipcop-8702398995,8.0,28.0,17.0,14.0,0.8235294117647058
gossipcop-9393662304,1.0,4.0,7.0,7.0,1.0
gossipcop-2852717230,0.0,0.0,3.0,1.0,0.3333333333333333
gossipcop-6850091838,0.0,4.0,6.0,4.0,0.6666666666666666
gossipcop-4544043450,0.0,0.0,1.0,0.0,0.0
gossipcop-1417462600,2.0,3.0,12.0,11.0,0.9166666666666666
gossipcop-2009291305,17.0,39.0,145.0,132.0,0.9103448275862068
gossipcop-2076682877,1.0,2.0,6.0,5.0,0.8333333333333334
gossipcop-3024692909,3.0,11.0,17.0,15.999999999999998,0.9411764705882352
gossipcop-6527168219,0.0,0.0,6.0,6.0,1.0
gossipcop-9552745968,1.0,7.0,10.0,9.0,0.9
gossipcop-6305593235,0.0,4.0,9.0,9.0,1.0
gossipcop-5543776726,0.0,1.0,3.0,3.0,1.0
gossipcop-3179316421,0.0,4.0,5.0,5.0,1.0
gossipcop-2950727916,1.0,3.0,7.0,5.0,0.7142857142857143
gossipcop-7358733324,0.0,1.0,3.0,3.0,1.0
gossipcop-1994380875,1.0,4.0,7.0,6.0,0.8571428571428571
gossipcop-4037512632,,,,,
gossipcop-4780852492,0.0,0.0,5.0,5.0,1.0
gossipcop-4847768997,1.0,5.0,10.0,7.0,0.7
gossipcop-798249568,0.0,0.0,4.0,4.0,1.0
gossipcop-8363534048,10.0,43.0,6.0,5.0,0.8333333333333334
gossipcop-4701516938,0.0,0.0,3.0,3.0,1.0
gossipcop-4100366327,0.0,7.0,14.0,13.0,0.9285714285714286
gossipcop-609522805,0.0,2.0,13.0,8.0,0.6153846153846154
gossipcop-6647020463,1.0,2.0,20.0,14.0,0.7
gossipcop-1858824870,1.0,7.0,6.0,6.0,1.0
gossipcop-6523629288,0.0,1.0,4.0,2.0,0.5
gossipcop-6645380580,0.0,0.0,1.0,1.0,1.0
gossipcop-1727573767,0.0,2.0,2.0,2.0,1.0
gossipcop-7295172272,0.0,0.0,1.0,1.0,1.0
gossipcop-7771950169,0.0,0.0,3.0,2.0,0.6666666666666666
gossipcop-9424432182,0.0,0.0,1.0,0.0,0.0
gossipcop-4749592824,2.0,1.0,3.0,3.0,1.0
gossipcop-394386553,0.0,1.0,3.0,3.0,1.0
gossipcop-3730183939,1.0,1.0,5.0,5.0,1.0
gossipcop-2225119088,0.0,5.0,7.0,5.0,0.7142857142857143
gossipcop-6624787872,1.0,4.0,10.0,9.0,0.9
gossipcop-4782811321,,,,,
gossipcop-11452309,0.0,5.0,26.0,21.0,0.8076923076923077
gossipcop-2970470770,1.0,4.0,7.0,5.0,0.7142857142857143
gossipcop-2167384102,0.0,0.0,1.0,1.0,1.0
gossipcop-2168769921,,,,,
gossipcop-4120648393,0.0,2.0,14.0,12.0,0.8571428571428571
gossipcop-6487101019,0.0,0.0,4.0,2.0,0.5
gossipcop-745923114,0.0,4.0,7.0,3.0,0.42857142857142855
gossipcop-6343588433,0.0,0.0,7.0,6.0,0.8571428571428571
gossipcop-1589416456,1.0,2.0,17.0,12.0,0.7058823529411765
gossipcop-3161672628,,,,,
gossipcop-8418748457,,,,,
gossipcop-4969454110,7.0,21.0,54.0,48.0,0.8888888888888888
gossipcop-3646746092,0.0,0.0,1.0,0.0,0.0
gossipcop-1454304840,3.0,38.0,61.0,58.0,0.9508196721311476
gossipcop-5203580690,0.0,0.0,8.0,8.0,1.0
gossipcop-6594181187,0.0,1.0,5.0,5.0,1.0
gossipcop-4244107793,0.0,1.0,11.0,8.0,0.7272727272727273
gossipcop-7837560693,84.0,189.0,94.0,83.0,0.8829787234042553
gossipcop-6712061606,8.0,2.0,17.0,15.0,0.8823529411764706
gossipcop-5627872766,56.0,209.0,14.0,11.0,0.7857142857142857
gossipcop-554917639,3495.0,11486.0,1029.0,878.0,0.8532555879494655
gossipcop-2617368190,17.0,101.0,32.0,22.0,0.6875
gossipcop-5515023168,0.0,0.0,3.0,3.0,1.0
gossipcop-6375307541,1.0,0.0,15.0,12.0,0.8
gossipcop-6870389279,2.0,10.0,6.0,6.0,1.0
gossipcop-2469835068,2.0,7.0,31.0,21.0,0.6774193548387096
politifact15232,3.0,4.0,17.0,14.0,0.8235294117647058
politifact14238,102.0,125.0,367.0,305.0,0.8310626702997275
gossipcop-8611166284,,,,,
gossipcop-8594997526,0.0,2.0,62.0,42.0,0.6774193548387096
gossipcop-9327540025,6.0,4.0,5.0,5.0,1.0
gossipcop-7205321555,0.0,2.0,28.0,24.0,0.8571428571428571
gossipcop-7857298641,3.0,1.0,2.0,2.0,1.0
gossipcop-2266277403,13.0,11.0,28.0,26.0,0.9285714285714286
gossipcop-5288672998,19.0,76.0,30.0,27.0,0.9
gossipcop-8982221760,1.0,8.0,10.0,10.0,1.0
gossipcop-6706668764,31.0,25.0,98.0,91.0,0.9285714285714286
gossipcop-6953480338,18.0,22.0,17.0,14.0,0.8235294117647058
gossipcop-4944479774,0.0,1.0,27.0,25.999999999999996,0.9629629629629628
gossipcop-12955535,75.0,266.0,144.0,111.0,0.7708333333333334
gossipcop-1761311625,3.0,7.0,8.0,8.0,1.0
gossipcop-3873776486,31.0,65.0,68.0,61.99999999999999,0.9117647058823528
gossipcop-7905541453,104.0,346.0,183.0,171.0,0.9344262295081968
gossipcop-9331027077,7.0,38.0,53.0,27.0,0.5094339622641509
gossipcop-8897143051,12.0,34.0,8.0,5.0,0.625
gossipcop-7889565756,42.0,117.0,18.0,16.0,0.8888888888888888
gossipcop-5818928266,16.0,29.0,79.0,61.0,0.7721518987341772
gossipcop-5220162545,2184.0,6403.0,329.0,279.0,0.8480243161094225
gossipcop-1946072246,49.0,202.0,157.0,126.00000000000003,0.8025477707006371
gossipcop-218256509,1357.0,3340.0,970.0,905.0000000000001,0.9329896907216496
gossipcop-3484539870,1357.0,3338.0,970.0,905.0000000000001,0.9329896907216496
gossipcop-2761740186,1296.0,3186.0,982.0,917.9999999999999,0.9348268839103868
gossipcop-1474016935,1284.0,3183.0,969.0,904.0000000000002,0.9329205366357072
gossipcop-9199209919,1357.0,3338.0,970.0,905.0000000000001,0.9329896907216496
gossipcop-6768997467,1290.0,3196.0,950.0,888.0,0.9347368421052632
gossipcop-905893319,1357.0,3337.0,950.0,888.0,0.9347368421052632
gossipcop-8055905062,1357.0,3338.0,970.0,905.0000000000001,0.9329896907216496
gossipcop-6595814885,1357.0,3338.0,970.0,905.0000000000001,0.9329896907216496
gossipcop-2914651796,1357.0,3338.0,969.0,904.0000000000002,0.9329205366357072
gossipcop-9213050977,1357.0,3338.0,969.0,904.0000000000002,0.9329205366357072
gossipcop-4088675113,816.0,3058.0,1020.0,803.0,0.7872549019607843
gossipcop-7115082678,0.0,0.0,2.0,2.0,1.0
gossipcop-693095047,0.0,3.0,1.0,1.0,1.0
gossipcop-3316099372,10.0,25.0,90.0,80.0,0.8888888888888888
gossipcop-7830138661,0.0,0.0,2.0,2.0,1.0
gossipcop-5057875170,0.0,0.0,1.0,0.0,0.0
gossipcop-9428966807,2.0,3.0,7.0,4.0,0.5714285714285714
politifact14884,1.0,0.0,34.0,21.0,0.6176470588235294
gossipcop-2012311671,1.0,3.0,30.0,24.0,0.8
gossipcop-6232432879,319.0,2539.0,1016.0,711.0,0.6998031496062992
gossipcop-1640600260,496.0,2727.0,1002.0,713.0,0.7115768463073853
gossipcop-863456235,1.0,0.0,13.0,8.0,0.6153846153846154
gossipcop-6857021229,1852.0,7741.0,1758.0,1182.0,0.6723549488054608
gossipcop-7374728839,17511.0,5332.0,1017.0,948.0000000000001,0.9321533923303836
gossipcop-4427425026,17951.0,66345.0,1020.0,765.0,0.75
gossipcop-729165122,368.0,4832.0,1020.0,766.0,0.7509803921568627
gossipcop-5168265842,1821.0,3117.0,756.0,600.0,0.7936507936507936
gossipcop-1086231022,,,,,
gossipcop-817991122,459.0,2928.0,1020.0,840.0,0.8235294117647058
gossipcop-1391882275,405.0,2505.0,1110.0,832.0,0.7495495495495496
gossipcop-7424409291,630.0,3411.0,1020.0,841.0,0.8245098039215686
gossipcop-8372874438,376.0,3193.0,1544.0,1081.0,0.7001295336787565
gossipcop-6722352082,306.0,1693.0,1000.0,839.0000000000001,0.8390000000000001
gossipcop-2699251380,913.0,4051.0,992.0,735.0,0.7409274193548387
gossipcop-464187672,4858.0,22267.0,1005.0,777.0,0.7731343283582089
gossipcop-3824236400,344.0,1444.0,1020.0,778.0,0.7627450980392156
gossipcop-4697280665,5331.0,10913.0,1020.0,803.0,0.7872549019607843
gossipcop-2023027695,439.0,1862.0,1036.0,749.0,0.722972972972973
gossipcop-832300074,310.0,2000.0,1081.0,701.0,0.6484736355226642
gossipcop-2719250900,671.0,3839.0,1023.0,702.0,0.6862170087976539
gossipcop-4656875855,1225.0,6358.0,1001.0,804.0,0.8031968031968032
gossipcop-1380729469,998.0,3339.0,1020.0,770.0,0.7549019607843137
gossipcop-2365780434,1893.0,10956.0,2568.0,1884.0,0.7336448598130841
gossipcop-7075559534,1178.0,3731.0,1471.0,1045.0,0.7104010876954453
gossipcop-1036952493,0.0,0.0,8.0,6.0,0.75
gossipcop-4997413912,1345.0,8203.0,1020.0,785.0,0.7696078431372549
gossipcop-5592600945,1845.0,10045.0,1000.0,723.0,0.723
gossipcop-3393869597,2339.0,7679.0,1020.0,769.0,0.753921568627451
gossipcop-705798793,3094.0,8925.0,1007.0,753.0,0.7477656405163853
gossipcop-9526457926,402.0,3460.0,2016.0,1647.0,0.8169642857142857
gossipcop-1126220623,599.0,3016.0,1037.0,810.0000000000002,0.7810993249758922
