news_url,url_protocol,url_www,url_level,total_sentences,word_size,avg_word_per_sentence,no_of_words_in_title,count_punct,noun,verb,adjective,adverb,preposition,conjunction,interjection,noun_density,verb_density,adjective_density,adverb_density,preposition_density,conjunction_density,interjection_density,total_retweets,total_favorites,total_ids,total_available_ids,percentage_avai_ids,target
https://variety.com/2017/legit/awards/tony-awards-2017-winners-list-1202461975/,1,0,8,3.044522438,6.854354502,3.878466222,6,5.501258211,529,59,143,8,79,30,0,0.558606125,0.062302006,0.151003168,0.00844773,0.083421331,0.031678986,0,4.709530201,5.655991811,236,216,0.915254237,0
https://deadline.com/2017/08/gypsy-canceled-netflix-naomi-watts-one-season-1202146744/,1,0,7,2.564949357,5.525452939,3.083437854,7,3.33220451,93,41,25,11,33,11,0,0.372,0.164,0.1,0.044,0.132,0.044,0,0,1.098612289,32,30,0.9375,0
https://www.tennessean.com/story/entertainment/music/2017/06/07/stars-hit-red-carpet-2017-cmt-music-awards/379280001/,1,0,12,3.610917913,6.684611728,3.143912786,9,4.477336814,335,108,82,30,120,18,0,0.419274093,0.135168961,0.102628285,0.037546934,0.150187735,0.02252816,0,0,0.693147181,2,2,1,0
https://www.refinery29.com/en-us/2018/02/189859/riverdale-archie-veronica-betty-love-triangle-season-2-finale,1,0,8,1.609437912,3.737669618,2.420368129,7,2.079441542,15,6,7,0,5,0,0,0.365853659,0.146341463,0.170731707,0,0.12195122,0,0,0,1.098612289,52,48,0.923076923,0
radaronline.com/photos/kim-kardashian-suing-kylie-jenner-of-stealing-her-style/,0,0,4,3.044522438,6.261491684,3.301377046,17,4.744932128,187,106,47,26,78,18,0,0.357552581,0.202676864,0.089866157,0.049713193,0.149139579,0.034416826,0,4.804021045,5.686975356,706,650,0.920679887,1
www.thesun.co.uk/fabulous/6125493/kate-middleton-prince-william-body-language-new-baby-boy/,0,1,5,2.890371758,6.495265556,3.685933944,16,4.49980967,250,116,61,28,75,24,0,0.378214826,0.175491679,0.092284418,0.042360061,0.113464448,0.036308623,0,0,2.48490665,14,13,0.928571429,1
www.news.com.au/entertainment/celebrity-life/hook-ups-break-ups/mariah-carey-steps-out-with-boyfriend-and-her-10-million-engagement-ring-from-james-packer/news-story/36828c5b13e3adc238fa9b7acdbdb061,0,1,7,3.401197382,6.33150185,3.012826707,15,4.382026635,222,105,50,15,77,17,0,0.395721925,0.187165775,0.08912656,0.026737968,0.137254902,0.03030303,0,0,0,6,3,0.5,1
https://www.brit.co/bachelorette-limo-arrivals-season-14/,1,0,5,0.693147181,3.33220451,3.33220451,15,1.386294361,12,5,3,1,2,2,0,0.444444444,0.185185185,0.111111111,0.037037037,0.074074074,0.074074074,0,0,0,43,37,0.860465116,0
https://www.etonline.com/sophie-turner-and-joe-jonas-adopt-adorable-new-puppy-named-waldo-picasso-100486,1,0,4,2.944438979,5.932245187,3.085979151,12,4.356708827,149,62,51,11,49,10,0,0.396276596,0.164893617,0.135638298,0.029255319,0.130319149,0.026595745,0,0,1.945910149,59,56,0.949152542,0
https://hiplatina.com/jenni-rivera-birthday-boutique-opening/,1,0,5,2.564949357,5.609471795,3.164067588,9,3.713572067,108,41,24,14,43,2,0,0.397058824,0.150735294,0.088235294,0.051470588,0.158088235,0.007352941,0,0,0,1,1,1,0
www.celebritynetworth.com/richest-celebrities/authors/brad-falchuk-net-worth/,0,1,5,3.433987204,6.063785209,2.727852828,4,4.406719247,170,62,46,7,53,18,0,0.396270396,0.144522145,0.107226107,0.016317016,0.123543124,0.041958042,0,1.791759469,2.564949357,16,13,0.8125,1
https://www.thestate.com/latest-news/article190676444.html,1,0,5,1.386294361,4.025351691,2.961830722,9,1.791759469,19,14,4,3,8,2,0,0.345454545,0.254545455,0.072727273,0.054545455,0.145454545,0.036363636,0,0,0,21,19,0.904761905,0
www.buro247.me/culture/films-and-theatre/julia-roberts-is-the-latest-hollywood-heavyweight.html,0,1,4,2.48490665,5.572154032,3.211576522,13,3.80666249,88,41,37,12,38,4,0,0.335877863,0.15648855,0.141221374,0.045801527,0.145038168,0.015267176,0,3.465735903,4.204692619,39,35,0.897435897,1
https://people.com/style/beyonce-wears-galia-lahav-wedding-dress-vow-renewal/,1,0,6,2.63905733,5.84932478,3.318373031,15,3.80666249,145,51,26,9,52,15,0,0.419075145,0.147398844,0.075144509,0.026011561,0.150289017,0.043352601,0,0,0,6,6,1,0
https://www.upi.com/Dinosaurs-face-extinction-again-in-Jurassic-World-Fallen-Kingdom-trailer/3581512702116/,1,0,6,2.397895273,5.099866428,2.850706502,10,3.465735903,52,29,22,2,17,4,0,0.319018405,0.17791411,0.134969325,0.012269939,0.104294479,0.024539877,0,0.693147181,1.791759469,28,23,0.821428571,0
yournewswire.com/jim-carrey-hollywood-babies-christmas/,0,0,3,2.890371758,5.940171253,3.148200867,9,3.784189634,136,59,39,6,66,12,0,0.35883905,0.155672823,0.102902375,0.015831135,0.17414248,0.031662269,0,6.817830571,6.759255271,404,326,0.806930693,1
https://www.hollywoodreporter.com/lists/daytime-emmy-awards-2017-full-list-winners-998820,1,0,5,2.833213344,5.602118821,2.883403089,8,3.988984047,116,31,37,7,30,8,0,0.42962963,0.114814815,0.137037037,0.025925926,0.111111111,0.02962963,0,5.398162702,6.061456919,831,755,0.908543923,0
https://www.usmagazine.com/celebrity-news/news/olivia-newton-john-talks-about-second-breast-cancer-battle-w504755/,1,0,7,3.583518938,6.326149473,2.829846338,8,4.343805422,202,129,42,25,79,26,0,0.362007168,0.231182796,0.075268817,0.044802867,0.141577061,0.046594982,0,0,0,16,14,0.875,0
www.huffingtonpost.com/entry/liam-payne-and-singer-cheryl-cole-split-after-two-years-together_us_5b3a4260e4b09e4a8b25d7e1,0,1,3,3.663561646,6.400257445,2.822318295,12,4.510859507,213,107,68,26,77,14,0,0.354409318,0.178036606,0.113144759,0.043261231,0.1281198,0.023294509,0,0,0,8,5,0.625,1
hollywoodlife.com/2017/10/06/jay-z-beyonce-raising-twins-harder-than-thought-marriage-relationship-trouble/,0,0,6,3.135494216,6.06610809,3.022639726,17,4.204692619,135,96,39,36,50,24,0,0.313953488,0.223255814,0.090697674,0.08372093,0.11627907,0.055813953,0,4.908814649,5.995620508,94.53782692,79.91149399,0.873621784,1
hollywoodlife.com/2017/10/04/blake-shelton-luke-bryan-american-idol-jealous-the-voice/,0,0,6,2.890371758,5.796057751,3.010331073,11,3.737669618,116,62,23,19,48,12,0,0.353658537,0.18902439,0.070121951,0.057926829,0.146341463,0.036585366,0,1.386294361,1.386294361,5,4,0.8,1
www.thehollywoodgossip.com/2017/02/jennifer-aniston-is-pregnant-according-to-kathy-hilton/,0,1,5,3.218875825,6.00635316,2.883403089,8,4.127134385,136,78,41,23,62,14,0,0.335802469,0.192592593,0.101234568,0.056790123,0.15308642,0.034567901,0,0,0,33,25,0.757575758,1
